employer_name,employer_address,employer_city,employer_state,employer_zip,employer_latitude,employer_longitude,is_primary,address_source,address_trust
01 ADVISORS,"1 Letterman Dr, Building C",San Francisco,CA,94129,37.7879363,-122.4075201,True,ai,grounded
10 EAST,244 5th Avenue,New York,NY,10001,40.744628,-73.9877206,True,ai,corroborated
1130 COLLINS,1130 Collins Avenue,Miami Beach,FL,33139,25.7825214,-80.1315904,True,manual,verified
13TH FLOOR INVESTMENTS,848 Brickell Avenue PH1,Miami,FL,33131,25.7741566,-80.1935973,True,manual,verified
1440 FOODS,"450 7th Avenue, 10th Floor",New York,NY,10123,40.7514791,-73.9907411,True,ai,grounded
154 PARTNERS,"34 E 51st Street, 17th Floor",New York,NY,10022,40.7579447,-73.9744308,True,ai,grounded
17LPT,,,,,,,True,,
18 MANAGEMENT,,,,,,,True,,
1826 GROUP,"21050 NE 38TH AVE, STE. 3103",Aventura,FL,33180,25.9703385,-80.124495,True,ai,grounded
19 ENTERPRISES LLC,11 Toronado Drive,Latham,NY,12110,42.7631817,-73.7707065,True,ai,grounded
1901 PARTNERS,"750 Third Avenue, 29th Floor",New York,NY,10017,40.753762844225,-73.972352978967,True,ai,grounded
1970 GROUP,"33 Benedict Place, 2nd floor",Greenwich,CT,06830,41.027712352754,-73.627692461624,True,ai,grounded
1970 GROUP,"100 Jericho Quadrangle, Suite 300",Jericho,NY,11753,40.784333515641,-73.554089080765,False,ai,grounded
1EDTECH CONSORTIUM,801 International Parkway Suite 500,Lake Mary,FL,32746,28.776297,-81.358583,True,ai,uncorroborated
1ST CENTURY BANK,"1875 Century Park East, Suite 1400",Los Angeles,CA,90067,34.0609539,-118.4147945,True,manual,verified
21 IN 21,,,,,,,True,,
21 LAPS ENTERTAINMENT,"1201 W Olympic Blvd, Suite 2100",Los Angeles,CA,90015,34.046951,-118.269023,True,ai,uncorroborated
21CFI,1211 Avenue of the Americas,New York,NY,10036,40.7586695,-73.9823756,True,ai,grounded
22C CAPITAL,"277 Park Avenue, 40th Floor",New York,NY,10172,40.7552631,-73.9742085,True,ai,corroborated
25 MADISON,"817 Broadway, 7th Floor",New York,NY,10003,40.733096974261,-73.991216142906,True,ai,grounded
25 MADISON,"950 Peninsula Corporate Circle, Suite 1006",Boca Raton,FL,33487,26.421867997229,-80.097750547105,False,ai,grounded
2U,,,,,,,True,,
2U INC,"1891 Preston White Drive, Suite 700",Reston,VA,20191,38.9437109,-77.3291801,True,ai,uncorroborated
3 ARTS ENTERTAINMENT,"9460 Wilshire Blvd, Seventh Floor",Beverly Hills,CA,90212,34.0696501,-118.3963062,True,manual,verified
30 POINT STRATEGIES,"659 Auburn Avenue NE, Suite 232",Atlanta,GA,30312,33.7560215,-84.3661081,True,ai,grounded
303 CAPITAL PARTNERS,"401 W Superior St, Suite 101",Chicago,IL,60654,41.8952927,-87.6387531,True,ai,grounded
34TH STREET DENTAL,225 W 35th St #2,New York,NY,10001,40.7522171,-73.9911323,True,ai,grounded
3EDGEWOOD,"4210 East Camelback Road, Suite E",Phoenix,AZ,85018,33.509715,-111.989897,True,ai,grounded
3I FUND,"2 Wooster St, 2nd Floor",New York,NY,10013,40.721012,-74.0036839,True,ai,grounded
3P EQUITY,"1650 Las Plumas Ave, Suite F",San Jose,CA,95133,37.3610643,-121.8662266,True,ai,grounded
3Q DIGITAL,"1000 Sansome Street, Suite 300",San Francisco,CA,94111,37.7996876,-122.4021534,True,ai,corroborated
3SIXTY DUTY FREE,1998 NE 150th Street,North Miami,FL,33181,25.9137505,-80.1597017,True,ai,grounded
4 CORNERS GROUP,"215 Park Avenue South, Suite 2010",New York,NY,10003,40.736903,-73.9884712,True,ai,grounded
5 SPOKE CREAMERY,1089 Pulaski Highway,Goshen,NY,10924,41.3578826,-74.3760009,True,ai,grounded
5 STAR PEST SOLUTIONS,1402 Commerce Ave,Indianapolis,IN,46201,39.7861286,-86.131874,True,ai,grounded
50 EIGHTH AVENUE TENANTS CORP,50 8th Avenue,Brooklyn,NY,11217,40.6743204,-73.9726911,True,ai,grounded
510 VENTURES LLC,510 Garrison Forest Rd,Owings Mills,MD,21117,39.4191996,-76.7608811,True,manual,verified
5306 TRUMP,,,,,,,True,,
7 STAR CONSTRUCTION COMPANY,P.O. Box 861,Rock Hill,SC,29731,34.9248667,-81.0250784,True,ai,grounded
72ND STREET MEDICAL ASSOCIATES,310 E 72nd St,New York,NY,10021,40.7684047,-73.9578231,True,ai,grounded
73V,"580 Broadway, 7th Floor",New York,NY,10012,40.7246036,-73.9972882,True,ai,grounded
757CFO LLC,905 Enfield Chase,Virginia Beach,VA,23452,36.8703862,-76.0744902,True,ai,grounded
76 WEST HOLDINGS,,,,,,,True,,
76UNDEFEATED,25 SE 2nd Ave Ste 550,Miami,FL,33131,25.7737529,-80.1901314,True,ai,grounded
7H LEGACY PROPERTY LLC,,,,,,,True,,
7RIDGE,"Chrysler Building, 405 Lexington Avenue",New York,NY,10174,40.7127281,-74.0060152,True,ai,grounded
808 WEST END AVENUE LLC,808 West End Avenue,New York,NY,10025,40.7970793,-73.9712872,True,ai,uncorroborated
9 MUSES ART CORP,105 West 29th Street Apt 47D,New York,NY,10001,40.7468349,-73.9902614,True,ai,grounded
97 SWITCH,,,,,,,True,,
981 MANAGEMENT,520 US Highway 22,Bridgewater,NJ,08807,40.5598127,-74.5517146,True,ai,grounded
9FIN,"111 W 19th St, 6th Floor",New York,NY,10011,40.7408894,-73.9954138,True,ai,corroborated
A & R KATZ MANAGEMENT,3175 Commercial Ave Ste 100,Northbrook,IL,60062,42.1464109,-87.8586313,True,ai,grounded
A GIFTED SOLUTION,315 Central Park West #3W,New York,NY,10025,40.7887447,-73.9670194,True,ai,grounded
A PRIORI,"300 Baker Ave, Suite 320",Concord,MA,01742,42.4599821,-71.3893114,True,ai,grounded
A SIEGEL & ASSOCIATES,,,,,,,True,,
A WISH COME TRUE,1020 Imboden Dr,Scott Depot,WV,25560,38.4417575,-81.9168002,True,ai,uncorroborated
A WORLD OF WIPES,1000 Winter Street,Waltham,MA,02451,42.4076951,-71.2741569,True,ai,uncorroborated
A&B STORE FIXTURES INC,6202 Swing Court,Greensboro,NC,27409,36.0712577,-79.9083652,True,ai,grounded
A&E,235 E 45th St,New York,NY,10017,40.7522239,-73.9713998,True,ai,corroborated
A&E REAL ESTATE,"1065 Avenue of the Americas, 31st Floor",New York,NY,10018,40.7540547,-73.9854937,True,ai,grounded
A&W TECH CONSULTING,19206 Habitat Cv,San Antonio,TX,78258,29.6210569,-98.5146258,True,ai,grounded
A-STREET,,,,,,,True,,
A.L.P,6333 Gross Point Road,Niles,IL,60714,42.0193738,-87.7754149,True,ai,grounded
A.R.CONSULTANTS,,,,,,,True,,
A.T.N,,,,,,,True,,
AA ALL METAL RECYCLING,1226 49th Ave,Oakland,CA,94601,37.7686215,-122.2104519,True,manual,verified
AAAASF,"33 W. Division St., Suite 302",Burr Ridge,IL,60527,41.7502971,-87.9161818,True,ai,uncorroborated
AAG,3000 Kellway Drive,Carrollton,TX,75006,32.971812,-96.843871,True,ai,uncorroborated
AAG MANAGEMENT,,,,,,,True,,
AARA,"242 Old New Brunswick Rd, Suite 440",Piscataway,NJ,08854,40.553085,-74.474676,True,ai,grounded
AARON ELKIN MD,1309 N Federal Hwy,Hollywood,FL,33020,26.0227866,-80.143146,True,ai,grounded
AARON WEALTH ADVISORS,"515 N. State St., Suite 1770",Chicago,IL,60654,41.8914005,-87.627297,True,ai,grounded
AB BERNSTEIN,745 5th Ave,New York,NY,10151,40.7633245,-73.9733602,True,ai,uncorroborated
AB INITIO,201 Spring Street,Lexington,MA,02421,42.419352464967,-71.25160477816,True,ai,grounded
AB PRIVATE CREDIT INVESTORS,"1345 Avenue of the Americas, 22nd Floor",New York,NY,10105,40.7629997,-73.9790535,True,ai,uncorroborated
ABBA CAPITAL ENTERPRISES,,,,,,,True,,
ABBIE FRIEDMAN ATTORNEY AT LAW,5875 S Rainbow Blvd #203,Las Vegas,NV,89118,36.0820418,-115.2433306,True,ai,grounded
"ABBOTT LEE STILLMAN, ARTIST LLC",11 Birchall Drive,Scarsdale,NY,10583,40.9957172,-73.7815055,True,ai,grounded
ABBVIE,1 N Waukegan Rd,North Chicago,IL,60064,42.3015593,-87.8902499,True,ai,uncorroborated
ABC,77 W 66th St,New York,NY,10023,40.77354,-73.9805847,True,ai,corroborated
ABC DOORS,5100 S Willow Dr,Houston,TX,77035,29.6576018,-95.4674247,True,ai,grounded
ABC PACIFIC CORP,990 Vistoso Commerce Loop,Oro Valley,AZ,85755,32.4271751,-110.9469742,True,ai,uncorroborated
ABC SALES & MARKETING,10467 E Tarragon Ave,Mesa,AZ,85212,33.3188465,-111.6029549,True,ai,grounded
ABC/DISNEY,500 S. Buena Vista Street,Burbank,CA,91521,34.1551262,-118.3265025,True,ai,corroborated
ABE''S VEGAN MUFFINS LLC,389 West Nyack Road,West Nyack,NY,10994,41.0953907,-73.987703,True,ai,grounded
ABECAP,319 West Simpson Street Suite 109,Tucson,AZ,85711,32.2156569,-110.9746502,True,ai,grounded
ABINITIO SOFTWARE,201 Spring Street,Lexington,MA,02421,42.419352464967,-71.25160477816,True,ai,grounded
ABIR COHEN TREYZON SALO LLP,,,,,,,True,,
ABOVE ALL ADVERTISING,6980 Corte Santa Fe,San Diego,CA,92121,32.879738,-117.170571,True,ai,grounded
ABRAHAM CAPITAL,"2550 Northwinds Pkwy SE, Suite 300",Alpharetta,GA,30009,34.0755962,-84.2945964,True,ai,uncorroborated
ABRAHAM ZERYKIER MD,16 Ross Ave,Staten Island,NY,10306,40.5736101,-74.1211384,True,ai,grounded
ABRAMS & ASSOCIATES,,,,,,,True,,
ABRAMS CAPITAL LLC,200 West 57th Street,New York,NY,10019,40.7654312,-73.9804189,True,ai,uncorroborated
ABRAMS ENTERTAINMENT,"5225 Wilshire Blvd, Suite 515",Los Angeles,CA,90036,34.0621109,-118.343279,True,ai,grounded
ABRO MANAGEMENT CORP,44 Wall Street,New York,NY,10005,40.706794,-74.0093855,True,ai,corroborated
ABROMS & ASSOCIATES PC,"201 S Court St, Ste 610",Florence,AL,35630,34.7988566,-87.6745785,True,ai,grounded
ABROMS & BRANDNER,1817 Oxmoor Rd,Homewood,AL,35209,33.4773441,-86.7912921,True,ai,grounded
ABS - ALTMAN WARWICK,1350 Avenue of the Americas,New York,NY,10019,40.7627635,-73.9779699,True,ai,corroborated
ABSOLUTE REALTY,,Palm Beach Gardens,FL,33410,,,True,manual,verified
ABUNDANT VENTURE PARTNERS,"515 N STATE STREET, SUITE 300",CHICAGO,IL,60654,41.8914005,-87.627297,True,manual,verified
AC DISASTER CONSULTING,"1800 Glenarm Place, Suite 300",Denver,CO,80202,39.7457122,-104.9876957,True,ai,grounded
ACA FINANCIAL GUARANTY,199 Water Street,New York,NY,10038,40.7068659,-74.0043534,True,ai,corroborated
ACADEMIC ENGAGEMENT NETWORK,"1121 L St NW, Suite 900",Washington,DC,20005,38.903816,-77.0273535,True,ai,corroborated
ACADEMY OF GENERAL DENTISTRY,"560 W Lake Street, Suite 1300",Chicago,IL,60661,41.8856189,-87.6418733,True,ai,corroborated
ACADEMY OF SOUTH FLORIDA,"3721 NW 7 Street, Suite 3721-1",Miami,FL,33126,25.7741566,-80.1935973,True,ai,grounded
ACADEMY PARTNERS GROUP,260 Josephine St Ste 300,Denver,CO,80206,39.7204526,-104.9581395,True,ai,grounded
ACADEMY SERVICES LLC,,,,,,,True,,
ACADIA CAPITAL GROUP,601 Lexington Ave,New York,NY,10022,40.7587794,-73.9704834,True,ai,uncorroborated
ACADIA.IO LLC,"100 Crescent Ct, Suite 700",Dallas,TX,75201,32.7939116,-96.8033152,True,ai,uncorroborated
ACASI,7085 NW 46th Street,Miami,FL,33166,25.8158256,-80.3123439,True,ai,grounded
ACCENTURE,161 N Clark St,Chicago,IL,60601,41.8840655,-87.6331462,True,ai,grounded
ACCESS ENTERTAINMENT,"40 West 57th Street, 28th Floor",New York,NY,10019,40.7636059,-73.9758803,True,ai,grounded
ACCESS FUND,"44 Montgomery Street, Suite 3705",San Francisco,CA,94104,37.789625602381,-122.402032436717,True,manual,verified
ACCESSO PARTNERS,"100 N. Federal Highway, Suite 400",Hallandale Beach,FL,33009,25.986555244623,-80.142258026383,True,manual,verified
ACCESSORY EXCHANGE,"1 East 33rd St, 6th Floor",New York,NY,10016,40.7477269,-73.9844071,True,ai,grounded
ACCIN OPPORTUNITY FUND,"111 W. St. John Street, Suite 800",San Jose,CA,95113,37.3373451,-121.8940619,True,ai,grounded
ACCOUNTNET INC,1333 Broadway Suite 303,New York,NY,10018,40.7512127,-73.9879717,True,ai,grounded
ACCURATE DIAMOND TOOL,910 N Hunt Ave,Pomona,CA,91768,34.0354241,-117.7369303,True,ai,uncorroborated
ACCURATE PERFORATING,3636 S Kedzie Ave,Chicago,IL,60623,41.82698,-87.7046361,True,ai,corroborated
ACDD,,,,,,,True,,
ACE GLOBAL,20231 NE 15th Ct,Miami,FL,33179,25.9618608,-80.1709767,True,ai,grounded
ACE GUARANTY RE,1633 Broadway,New York,NY,10019,40.762093,-73.9846559,True,ai,grounded
ACE UNIFORM SERVICES,2400 S 54th St,Tulsa,OK,74107,36.0847771,-96.1270538,True,ai,uncorroborated
ACHIEVE BEHAVIORAL HEALTH,"25 Robert Pitt Drive, Suite 101",Monsey,NY,10952,41.110622,-74.0657849,True,ai,grounded
ACKERMAN & ACKERMAN PC,"1000 Wilshire Blvd, Suite 1500",Los Angeles,CA,90017,34.051474,-118.261657,True,ai,uncorroborated
ACKMAN-ZIFF REAL ESTATE GROUP,"582 8th Avenue, 19th Floor",New York,NY,10018,40.7549494,-73.9913313,True,ai,corroborated
ACME,,,,,,,True,,
ACON INVESTMENTS,"1133 Connecticut Ave NW, Suite 700",Washington,DC,20036,38.904948,-77.0401971,True,ai,uncorroborated
ACP,190 North Independence Mall West,Philadelphia,PA,19106,39.9527237,-75.1635262,True,ai,grounded
ACPOWERS LLC,915 Broadway Suite 801,New York,NY,10010,40.7397099,-73.9897732,True,ai,grounded
