rid,agree,reason,verdict,organisation,address,city,state,zip,source_name,source_url,note
427,yes,"Re-opened optum.com/en/more-optum-sites.html: it states 1 Optum Circle, Eden Prairie MN 55344. The donors are physicians spread over many states, so the HQ is right.",,,,,,,,,
429,yes,"Re-opened ordoro.com home, /about, /contact and /terms: they say only 'based in Austin, Texas' with teammates across the US, and give no street. The donor is a remote NJ executive. not_found accepted.",,,,,,,,,
430,yes,"Re-opened oukosher.org/contact-us: Orthodox Union, 40 Rector St, 4th Floor, New York NY 10006.",,,,,,,,,
431,yes,"Re-queried the NPI API: Osawatomie State Hospital location and mailing address are both 500 State Hospital Dr, Osawatomie KS.",,,,,,,,,
433,yes,"The granata.bio contact page's site data gives Granata Bio, 289 Saint George Street, Duxbury MA 02332. The page does not show the suite, which is a minor gap.",,,,,,,,,
435,yes,"Re-opened panopto.com/contact: Global HQ, 600 River Avenue Suite 100, Pittsburgh PA 15212. No Seattle office is listed.",,,,,,,,,
436,yes,"Re-queried the IAPD API for firm 284342 (ADV filed 03/31/2026): office 600 Montgomery St., 45th Floor, San Francisco CA 94111.",,,,,,,,,
437,yes,"The Wayback 2026 copy of patriotsubaru.com gives Patriot Subaru of Saco, 769 Portland Rd, Saco. It fits the NH-based CEO. The live site is 403 here.",,,,,,,,,
439,yes,"Re-opened payjoy.com/about: PayJoy, Inc., 660 4th Street, Unit 139, San Francisco CA 94107.",,,,,,,,,
441,yes,Re-opened peapackprivate.com/park-avenue-financial-center: it names a 300 Park Avenue NYC financial center. The Long Island bankers fit the NYC office.,,,,,,,,,
442,no,"The researcher's own source (peraton.com/contact/locations) labels 'Corporate Headquarters: 1875 Explorer Street, Reston, VA 20190'. 12975 Worldgate Drive is only one of several Herndon facilities listed. The donor works in IT security in PA, so the HQ is the right fit.",corrected,Peraton Inc.,1875 Explorer Street,Reston,VA,20190,Peraton - Locations,https://www.peraton.com/contact/locations,"Peraton's locations page lists its Corporate Headquarters at 1875 Explorer Street, Reston VA. The published 12901 Worldgate Dr (Herndon) address is not the HQ."
443,yes,"Re-opened the Cambridge Chamber member page: Philips North America, 222 Jacobs Street, Cambridge MA 02141. The Andover address is obsolete.",,,,,,,,,
447,no,"The researcher's note is wrong. pricebenowitz.com/contact lists a Hampton Roads office at 700 Tech Center Parkway, Office 236B, Newport News VA 23606 (757 phone). The donor is a Virginia Beach attorney, so the same-metro office fits better than DC.",corrected,Price Benowitz LLP (Newport News office),"700 Tech Center Parkway, Office 236B",Newport News,VA,23606,Price Benowitz - Contact / Locations,https://pricebenowitz.com/contact/,"The firm's Hampton Roads office in Newport News fits the Virginia Beach attorney. The DC HQ is 409 7th St NW #100, Washington DC 20004."
448,yes,"Re-opened prime-policy.com/contact: 1801 K Street NW, Suite 9000, Washington DC 20006.",,,,,,,,,
