rid,agree,reason,verdict,organisation,address,city,state,zip,source_name,source_url,note
299,yes,"Re-opened the pincusco.com listing: Heights Advisors (Heights Real Estate Advisors), 140 Remsen St, Brooklyn NY 11201, a real estate investment firm. It fits the family-office manager; the donor lives in PA.",,,,,,,,,
301,yes,"Re-opened the wlcjregion.org page: Congregation Herzl-Ner Tamid, 3700 East Mercer Way, Mercer Island WA 98040. It fits the Bellevue WA rabbi; the Skokie IL address was wrong.",,,,,,,,,
305,no,"Wrong company. The only donor is an Englewood NJ physician (a urologist). 'HMH' for a northern NJ physician means Hackensack Meridian Health, not Houghton Mifflin Harcourt. The publisher's SEC record was last filed in 2023 and it employs no physicians.",corrected,Hackensack Meridian Health (Hackensack University Medical Center),30 Prospect Avenue,Hackensack,NJ,07601,Hackensack Meridian Health - Hackensack University Medical Center location page,https://www.hackensackmeridianhealth.org/en/locations/hackensack-university-medical-center,"HMH = Hackensack Meridian Health for a Bergen County NJ physician; its flagship hospital, Hackensack University Medical Center, is at 30 Prospect Avenue, Hackensack NJ 07601 (next to Englewood). The system's mailing office is 1 Wellbrook Place, Iselin NJ 08830."
308,yes,"Re-opened data.sec.gov (HPE, filings to 2026-09): 1701 E Mossy Oaks Road, Spring TX 77389.",,,,,,,,,
309,no,"The identity is not settled. The SEC record the researcher used (Lone Star's Hudson Advisors L.P., 2711 N Haskell Ave Suite 1800, Dallas) was last filed in 2022. A separate Hudson Advisors (a registered investment advisor, hudsonadvisors.com) has offices in Buffalo NY, Vero Beach FL and Greenwich CT. Nothing ties the NY 'investment professional' to either firm.",ambiguous,,,,,,,,"Candidates: (1) Hudson Advisors L.P. (Lone Star Funds affiliate), 2711 N Haskell Ave Suite 1800, Dallas TX 75204 per SEC (last filing 2022); (2) Hudson Advisors LLC RIA, 237 Main St Suite 600, Buffalo NY 14203 (also Greenwich CT and Vero Beach FL) per hudsonadvisors.com. The published 301 Commerce St address is unsupported."
310,no,"The source cannot be verified. ZoomInfo cannot be opened here and ibex-ai.com is behind a bot challenge (HTTP 202). No SEC, registry or archived page states a Brookline address. The donor is an Ohio physician, likely remote, and the global HQ is in Tel Aviv.",not_found,Ibex Medical Analytics,,,,,,,UNCHECKED: search budget. The Brookline MA office (202 Washington St) was seen only on a ZoomInfo page that cannot be opened here; redo by confirming Ibex's US office on ibex-ai.com. The published Newton address is unsupported.
311,yes,"The data.sec.gov records for Interactive Brokers Group and IBG LLC give One Pickwick Plaza, Greenwich CT 06830; IBG Holdings is the IB parent at the same address and near Scarsdale.",,,,,,,,,
312,yes,"Re-opened the idwentertainment.com terms page: Idea and Design Works LLC, 2765 Truxtun Road, San Diego CA 92106. The donor is IDW's CEO. The parent's last SEC filings (2023, deregistered) list 520 Broad St Newark, but San Diego is the operating office stated on the company's own page.",,,,,,,,,
313,no,"Wrong organisation. The NY 'financial advisor' is registered on IAPD with IFC Personal Money Managers, Inc. (dba ObjectiveAdvice.com), a one-branch New York RIA. He does not work at the World Bank's International Finance Corp. The RIA's IAPD office is a suite in a residential West End Avenue building, so no street is given.",home_based,"IFC Personal Money Managers, Inc. (ObjectiveAdvice.com)",,New York,NY,10024,SEC IAPD firm record (CRD 126344),https://api.adviserinfo.sec.gov/search/firm?query=IFC%20Personal&hl=true&nrows=12&start=0&r=25&sort=score%2Bdesc&wt=json,"One-person registered investment adviser, the donor's own firm; the IAPD office is a unit in a residential building on the Upper West Side, so street withheld. Not the World Bank IFC."
315,yes,"Re-opened the Yahoo Local listing: IKO Industries Ltd, 6 Denny Rd #200, Wilmington DE 19809 (iko.com, 302-764-3100). iko.com is blocked here and no West Coast office was found, so the US corporate address stands.",,,,,,,,,
316,no,"The Wichita street is outdated and the donors are in Dallas. The Texas Comptroller taxpayer record for IMA Financial Group, Inc. now gives 430 E Douglas Ave Ste 400, Wichita 67202, not 8200 E 32nd St N. IMA also has a Dallas office, which fits the Dallas insurance agent (imacorp.com returns 403 here).",corrected,IMA Financial Group (Dallas office),14221 Dallas Pkwy,Dallas,TX,75254,"YellowPages - IMA Financial Group, Dallas TX",https://www.yellowpages.com/dallas-tx/mip/ima-financial-group-571177578,"Dallas office of IMA Financial Group (listing links imacorp.com; phone 972-458-8700); fits the Dallas donors. Company Wichita office per TX Comptroller is 430 E Douglas Ave Ste 400, Wichita KS 67202; the published 8200 E 32nd St N appears outdated. No suite shown."
317,no,"The identity is doubtful and the source is dead. The researcher's source (impcotechnologies.com/contact-us) returns 404. A Portland OR property manager is unlikely to work for IMPCO, the San Antonio alternative-fuel systems maker. There is no Oregon registry entry named IMPCO.",not_found,,,,,,,,"The 'IMPCO' of a Portland OR property manager is not identified; the published 5757 Farinon Dr San Antonio address belongs to IMPCO/EControls (a fuel-systems maker), which does not fit. Its contact page now returns 404."
318,no,"A same-metro office exists. The Imperial Brady locations page the researcher cited also lists a Cincinnati Distribution Center, 9500 Glades Drive, West Chester Township OH 45011, which fits the Cincinnati sales manager. The page shows two 'headquarters' (Las Vegas and Jersey City), so the Jersey City choice is arbitrary.",corrected,Imperial Brady (formerly Imperial Dade) - Cincinnati Distribution Center,9500 Glades Drive,West Chester Township,OH,45011,Imperial Brady - Locations,https://www.imperialbrady.com/locations,Imperial Dade merged with BradyPLUS (Imperial Brady). The Cincinnati-area branch fits the Cincinnati donor. The locations page lists Jersey City NJ (255 Route 1 & 9) and Las Vegas NV as headquarters; the Edison Fieldcrest Ave site is no longer listed.
319,yes,"Re-opened inceptiv.com/contact: 3975 Landmark Street Suite 1400, Culver City CA 90232.",,,,,,,,,
