rid,agree,reason,verdict,organisation,address,city,state,zip,source_name,source_url,note
235,yes,"The ProPublica API (Friends Of Elnet, EIN 452212393, 2023 filing) gives 5215 Old Orchard Rd Ste 880, Skokie IL 60077. It is the only US office found for the FL fundraiser, so it stands.",,,,,,,,,
236,no,"The not_found is wrong. Trademarkia shows the EMBE 'coffee cafes' marks (serials 98756249 and 99899919) owned by a person with the donor's name, and the brand's own site embe.com gives the café's address.",corrected,embe Café (EMBE),1600 Alton Rd.,Miami Beach,FL,33139,embe Café - official site (contact footer),https://embe.com/,"The EMBE café brand's trademarks are held by a person with the donor's name, a Bal Harbour executive. The brand's own site lists 1600 Alton Rd, Miami Beach (South Beach café, not yet open). It is not the Sioux Falls SD nonprofit EmBe."
237,yes,"empirebrushes.com and empirebrush.com do not resolve, and bizapedia and buzzfile are paywalled. No page states a current office for a retired donor's former employer, so not_found is accepted.",,,,,,,,,
238,yes,"Re-opened data.sec.gov CIK0000785161: Encompass Health Corp, 9001 Liberty Parkway, Birmingham AL 35242. A physician and a speech pathologist fit the rehab operator; 1 Freedom Way is not its address.",,,,,,,,,
240,no,"Engine Advocacy (engine.is, 700 Pennsylvania Ave SE, confirmed) is an 11-50 person DC policy nonprofit, and it does not fit a Philadelphia 'product marketing' donor. Nothing ties the donor to it, and product-marketing roles point to a commercial company named Engine (e.g. the Engine travel platform, formerly Hotel Engine). This cannot be resolved here.",ambiguous,,,,,,,,"Candidates: Engine Advocacy (policy nonprofit, 700 Pennsylvania Ave SE, Washington DC 20003) and Engine the business-travel platform (formerly Hotel Engine, Denver area), or another company named Engine. A Philadelphia product-marketing role does not fit the advocacy nonprofit."
242,yes,"Re-opened the epwealth.com advisor page: a Regional Director with the donor's name at the Chicago North Shore office, 5202 Old Orchard Road Suite #160, Skokie IL 60077. It fits better than the SF HQ.",,,,,,,,,
243,no,"Wrong namesake. EPCF for an emergency physician in Maitland FL (Orlando) is Emergency Physicians of Central Florida LLP, not the El Paso Community Foundation. The donor's NPI record (1750481248, Emergency Medicine) has mailing PO Box 628296 Orlando, the group's mailing box, and location 1414 S Orange Ave, Orlando. The group's NPI record gives the same location.",corrected,"Emergency Physicians of Central Florida, LLP",1414 S Orange Ave,Orlando,FL,32806,NPPES NPI Registry API - Emergency Physicians of Central Florida LLP (NPI 1326033341),https://npiregistry.cms.hhs.gov/api/?version=2.1&number=1326033341,"The group's NPI location is 1414 S Orange Ave (MP 156), Orlando FL 32806-2134, the Orlando Regional Medical Center campus it staffs. The mailing address is PO Box 628296. No group website was found; the record was last updated in 2009, so treat it as the practice location."
244,yes,"Re-opened epicbrokers.com/locations: 'NEW YORK (HQ) 1140 Avenue of the Americas, 8th Floor'. The Teaneck NJ donor is in the NYC metro.",,,,,,,,,
245,yes,"Re-opened the epiphanydermatology.com provider page: the Georgia dermatologist at 710 Newnan Crossing Bypass, Newnan GA 30263 (metro Atlanta). The Austin corporate address does not fit.",,,,,,,,,
247,yes,"Re-opened the EQ Office careers page: 233 S Wacker Dr., Suite 4700, Chicago IL 60606; HQ is fine for the NY donor.",,,,,,,,,
