rid,agree,reason,verdict,organisation,address,city,state,zip,source_name,source_url,note
363,yes,"Re-opened lathropgpm.com/offices/kansas-city: footer gives Lathrop GPM LLP, 2323 Grand Boulevard, Kansas City MO 64108. The donors are in CA and MD, so the firm HQ is acceptable.",,,,,,,,,
366,yes,"Re-opened keithcohenlaw.com/contact-us: Office Court at Blue Bell, 595 Skippack Pike, Suite 200, Blue Bell PA 19422; it fits the Blue Bell attorney.",,,,,,,,,
369,yes,"Re-opened the Buzzfile listing: Liscr, LLC, 22980 Indian Creek Dr, Sterling VA 20166. liscr.com renders its contact page with JavaScript, so it could not confirm this here. The researcher's source is a directory, but it does state the address; Dulles and Sterling share ZIP 20166.",,,,,,,,,
374,yes,Re-opened the lordabbett.com press release: the global HQ moved within Jersey City from 90 Hudson Street to 30 Hudson Street.,,,,,,,,,
381,yes,"Re-opened bernllp.com/contact-us: One Grand Central Place, 60 East 42nd St., Suite 1400, New York NY 10165. One paragraph on the page says Suite 950, but the contact block and footer both say 1400.",,,,,,,,,
385,yes,"Re-opened data.sec.gov CIK0000225602: Massachusetts Mutual Life Insurance Co, 1295 State Street, Springfield MA 01111. The donors are in AL and NY, so the HQ is acceptable.",,,,,,,,,
389,no,"The HQ address is on MeatEater's own site. themeateater.com/about-us/terms-of-use lists MeatEater, Inc., 131 Discovery Dr, Bozeman MT 59718 (copyright agent), and the privacy policy lists 131 Discovery Drive, Bozeman MT 59718. The careers page says the company is based in Bozeman. So the published address is correct.",correct,"MeatEater, Inc.",131 Discovery Dr,Bozeman,MT,59718,MeatEater Terms of Use,https://www.themeateater.com/about-us/terms-of-use,Company HQ address from its own terms and privacy pages; the CA donor is an executive and there is no CA office.
391,yes,"Re-opened data.sec.gov CIK0001668397: Medpace Holdings, 5375 Medpace Way, Cincinnati OH 45227.",,,,,,,,,
392,yes,"Re-opened data.sec.gov CIK0000310158: Merck & Co., 126 East Lincoln Avenue, Rahway NJ 07065.",,,,,,,,,
393,yes,"Re-opened metcouncil.org/contact-us: 1 State Street Plaza, 24th Floor, New York NY 10004 (EIN 13-2738818).",,,,,,,,,
397,yes,"Re-opened millcreekplaces.com/about/contact-us: the national office is 4855 Technology Way Suite 400, Boca Raton, and it also lists 5910 N Central Expy, Suite 1100, Dallas TX 75206 (legal/HR address). The Dallas office fits the Dallas-based CIO.",,,,,,,,,
364,yes,"The employer text combines a law office with a Berkshire Hathaway real estate franchise, and the two donors are in Ventnor NJ. The published Omaha address (Berkshire Hathaway Inc.) is clearly wrong. No single organisation fits, so ambiguous with no address is right.",,,,,,,,,
365,no,"The firm can be identified. The NY attorney registry (data.ny.gov eqw2-r5nb) lists the company ELLYN BANK DUGOW, PC with its registered business address in West Palm Beach FL 33401. That address is an apartment unit, so the practice is run from a residence. The published NY 2 Park Ave address has no support. This should be home_based, not not_found.",home_based,"Ellyn Bank Dugow, PC",,West Palm Beach,FL,33401,NY State attorney registration (data.ny.gov),https://data.ny.gov/resource/eqw2-r5nb.json,"Solo law practice; its registered address is a residential unit, so no street is given."
395,yes,"Midlantic Bank N.A. was absorbed by PNC in the mid-1990s and the donor is retired, so there is no current office. not_found is accepted.",,,,,,,,,
398,yes,"NPI shows several unrelated Millennium Health Care entities in NJ (Whippany, Paramus/Westwood, Clifton) and none in Melville. The Lakewood NJ CEO cannot be tied to one of them, so not_found (effectively ambiguous) stands.",,,,,,,,,
400,yes,"Direct checks: a 2014 SEC Form D (Karakoram Lender LLC, CIK 1601673) lists Mission Peak Capital's executives at 1908 Main Street, Kansas City MO 64108. 2024-25 MA-I filings show only Mission Peak Capital, Kansas City MO 64108. missionpeakcapital.com is live but shows no address. The street is sourced only to 2014, so it cannot be confirmed as current and not_found is acceptable. A later check could revisit 1908 Main St.",,,,,,,,,
407,no,"149 New Montgomery St comes from an older IRS filing and is no longer Mozilla's office. mozilla.org/en-US/contact/spaces/ lists the current San Francisco Mozilla Space at 235 Pine Street, 7th floor, San Francisco CA 94104 (legal notices go to 1875 Mission St Suite 103). The donors do business development and partnerships, so they work for Mozilla Corporation, not the Foundation.",corrected,Mozilla Corporation,"235 Pine Street, 7th Floor",San Francisco,CA,94104,Mozilla Spaces (mozilla.org),https://www.mozilla.org/en-US/contact/spaces/,"Current Mozilla San Francisco office per mozilla.org. The Mountain View address is outdated, and New Montgomery St is an older filing address."
408,no,"The identity is right (Millennium Properties R/E, Chicago). But the site gives two addresses. The contact page, last modified Apr 2025, shows 225 West Illinois Suite 350. The sitewide footer and the Privacy Policy and Terms of Service, both updated 2026-08-24 per the sitemap, give 40 East Huron, Suite 700D, Chicago IL 60611. Use the newer address.",corrected,Millennium Properties R/E,"40 East Huron, Suite 700D",Chicago,IL,60611,Millennium Properties Privacy Policy,https://www.mpirealestate.com/privacy-policy/,"Chicago commercial real estate firm, not Meeting Professionals International. The address is from the Aug 2026 privacy and terms pages and the site footer; the contact page still shows an older 225 W Illinois St address."
409,no,"MSL here is MSL, P.A., an Orlando CPA firm (PCAOB ID 569; SEC auditor letters are signed 'Orlando, Florida'). That fits the CPA donors in Orlando and Casselberry, not the NYC PR agency. Florida DBPR license search lists MSL, P.A. (AD0031378) at 255 S. Orange Avenue, Orlando FL 32801. Caveat: the license shows Delinquent since 12/31/2025, so the firm may have combined with another.",corrected,"MSL, P.A. (CPA firm)",255 S. Orange Avenue,Orlando,FL,32801,Florida DBPR license search,https://www.myfloridalicense.com/wl11.asp?mode=0&SID=&brd=0&typ=N,"CPA firm license AD0031378 lists the main and location address at 255 S. Orange Ave, Orlando. The license has been Delinquent since 12/31/2025, so the firm may have merged; check before relying on it long term."
411,yes,"Re-opened nfrw.org/contact: 124 N. Alfred Street, Alexandria VA 22314.",,,,,,,,,
413,yes,"'New Horizons' is a generic name, and the owner is in North Miami Beach FL while the published address is in MA. No FL business can be identified without a search, so not_found is accepted.",,,,,,,,,
415,yes,"data.sec.gov CIK0001699176 (NFP Ultimate Holdings, c/o NFP Corp.) gives 200 Park Avenue, Suite 3202, New York NY 10166. Aon's April 2024 424B3 also gives NFP's principal executive offices at 200 Park Avenue, Suite 3202, New York NY 10166, not Park Ave S.",,,,,,,,,
416,yes,"Same NFP HQ as rid 415: 200 Park Avenue, Suite 3202, New York NY 10166 (Aon 2024 424B3 and SEC CIK0001699176).",,,,,,,,,
419,yes,"Urban Institute CCD 2022 NJ directory: Norwood Public School District, 177 Summit Street, Norwood NJ 07648; it fits the Closter NJ teacher.",,,,,,,,,
420,yes,"Unrecognisable acronym employer. The published street is in a residential SF neighbourhood and no company 'NTR' was found, so home_based with city only is the safe call.",,,,,,,,,
423,yes,"Re-opened octagoncredit.com/contact-us, and IAPD confirms: 250 Park Avenue, 15th Floor, New York NY 10177.",,,,,,,,,
376,yes,"Re-opened ltapparel.com: Corporate Headquarters 2 Park Ave, New York NY 10016 (plus an NC distribution center). The NJ donor commutes to NYC, so this fits.",,,,,,,,,
377,no,"The Saco facility is the seafood purchasing and production business the company opened in 2013 (per its about-us page). The researcher's source is a 2021 legislative testimony PDF. Luke's current privacy policy (lukeslobster.com/pages/privacy-policy, Feb 2026 version) gives the company contact as Luke's Lobster, 60 Portland Pier, Portland ME 04101. For an administrator, the company's own current contact address is the better office.",corrected,Luke's Lobster,60 Portland Pier,Portland,ME,04101,Luke's Lobster Privacy Policy,https://lukeslobster.com/pages/privacy-policy,Company contact address in the 2026 privacy policy; the Portland Pier site is also a Luke's location. The Saco Industrial Park Rd site is the production facility.
380,yes,"IAPD (api.adviserinfo.sec.gov) confirms MAI Capital Management, LLC (CRD 109807), ACTIVE, at 6050 Oak Tree Blvd, Suite 500, Cleveland OH 44131. mai.capital returns a bot wall, so a DC-area branch for the Potomac MD donor could not be checked; the HQ is acceptable.",,,,,,,,,
383,yes,"The Mars division has no separately published HQ that could be opened: mars.com returns 403 and the Antech site gives no street. Mars, Incorporated's HQ at 6885 Elm St, McLean VA 22101 is the parent's long-standing office, so it is acceptable for the CA executive. The researcher's source is a weak directory, though.",,,,,,,,,
390,yes,"The NPI API shows many Medical Facilities of America partnership entities with their mailing address at 2917 Penn Forest Blvd, Roanoke VA, consistent with the corporate office. The Lakewood NJ donor has no NJ office to use, so the HQ is acceptable.",,,,,,,,,
394,yes,"Re-opened mlb.com/marlins/ballpark: loanDepot park, 501 Marlins Way, Miami FL 33125, where the team offices are. That is better than the researcher's Wikipedia source.",,,,,,,,,
402,yes,"ProPublica/IRS still gives 441 Saxony Road Barn 2, Encinitas CA 92024-2725. memglobal.org/contact lists Encinitas as a hub office, so the address is valid. Caveat: the same page lists Charlotte NC first, as the main office line (704-512-0409), which would fit the Charlotte donor, but no Charlotte street is published.",,,,,,,,,
414,yes,"Re-opened nyseia.org/contact: mailing address P.O. Box 1523, Long Island City NY 11101 is the organisation's only published address.",,,,,,,,,
418,yes,"IAPD confirms Northrock Partners, LLC, ACTIVE, at 225 South Sixth Street, Suite 1400, Minneapolis MN 55402.",,,,,,,,,
422,yes,"Re-opened octagon.com/contact: Connecticut, 400 Atlantic Street, Stamford CT 06901; there is no MA office, and the CT registry agrees (Octagon USA, Inc., active).",,,,,,,,,
