rid,agree,reason,verdict,organisation,address,city,state,zip,source_name,source_url,note
1,yes,"Opened 01a.com: it lists 01A San Francisco, 415 Jackson, San Francisco CA 94111 (and a NY office at 817 Broadway), so the Letterman Dr address is outdated. There is no Colorado office, so the HQ is correct.",,,,,,,,,
2,yes,"No public office for a '1826 Group' tied to Aventura turned up (hits are unrelated namesakes). The published unit is a numbered unit in a residential high-rise, and the donor is retired, so city-only home_based is the safe call.",,,,,,,,,
3,yes,"Opened the nevadacampaigncontributions.com page, which shows 19 Enterprises LLC only as 'Las Vegas, NV' with no street. The Latham NY address is an unrelated namesake, and no public office was found.",,,,,,,,,
4,yes,"Opened the IAPD API record for CRD 173444: 1901 Partners Management LP is INACTIVE, SEC registration terminated 3/17/2023, ERA withdrawn 12/13/2023, last office city Southlake TX with no street. The 750 Third Ave NYC office is stale, so not_found is right.",,,,,,,,,
5,yes,"There is no public record of an organisation called '21cfi' with an office. The published address is the former 21st Century Fox/News Corp building, which does not fit a Santa Clara engineer, so not_found stands.",,,,,,,,,
6,no,"30 Point is a real multi-partner content agency (30point.com: Inc. 5000 honoree, several partners; per directories it has offices in Atlanta, New York and DC), so home_based does not apply. The only address found on an opened page is the Atlanta listing at 659 Auburn Ave NE #232 (Yahoo Local), which is a unit in the Studioplex live/work lofts. The Bethesda 7315 Wisconsin Ave Ste 400W HQ appears only in search snippets (Manta/ZoomInfo are blocked), so it cannot be sourced. The earlier snippet-based 'corrected' is withdrawn.",not_found,30 Point Strategies LLC (content/communications agency),,,,,30 Point website; Yahoo Local listing,https://30point.com/,"This is a real firm, but no opened source states an office street. A Bethesda MD HQ (7315 Wisconsin Ave Ste 400W, 20814) appears in Manta/ZoomInfo snippets that could not be opened. Re-check it if those directories become reachable. Do not publish the Atlanta Studioplex unit."
8,yes,"BBB is blocked here, but search results show 7 Star Construction Company as a small Houston contractor (Houston TX 77002 plus a second Houston listing). The Rock Hill SC PO box is a different company. City-only home_based is low risk.",,,,,,,,,
10,yes,"The NY DOS open-data record (DOS 4672903) gives 9 Muses Art Corp's process address as 105 West 29th Street, Apt 47D, New York 10001, an apartment. City-only home_based is right.",,,,,,,,,
11,yes,"Opened the SEC Form D/A (May 2026, Havemeyer Place LP). Its general partner is A Priori Investment Fund GP LLC, and the Brumbergs are listed as managing members. The address is 3 Pickwick Plaza, Suite 302, Greenwich CT 06830. The Concord MA aPriori is a different company.",,,,,,,,,
12,no,"A web search ties the donor to A&W Technical Consulting as Head of Operations, and a directory shows that entity trading as APrime Technology (aprime.io), a remote software consultancy whose site gives no office. Nothing links the donor (Sherman Oaks CA) to the San Antonio house address, and the researcher's source (ussbchamber.org) could not be opened. Publishing San Antonio as the firm's home city is unsupported.",not_found,"A&W Technical Consulting LLC (d/b/a APrime Technology, software consultancy)",,,,,APrime Technology website,https://www.aprime.io/,"This is the previous employer of a retired donor. The APrime site lists only email/LinkedIn and no office. The San Antonio 19206 Habitat Cv address is a residential house whose link to this firm is unverified, so do not publish it."
13,yes,"The CMS NPI API shows every AARA entity using a mailing address of 2255 Glades Rd Ste 228W, Boca Raton, and the donor's NPI location is also in Boca Raton (2900 N Military Trl). The published Piscataway NJ address does not fit.",,,,,,,,,
14,yes,"Sunbiz is blocked here (Cloudflare), so the record could not be re-opened. A small Weston FL corporation run by the donor, with the unrelated Mesa AZ address removed, is plausible, and city-only home_based publishes no street.",,,,,,,,,
16,yes,"Opened accessindustries.com/contact. It lists 'New York Office, 40 West 57th Street, New York, NY 10019' and London only, with no LA office, so the HQ is right for the Beverly Hills donor. The floor is not stated.",,,,,,,,,
18,yes,"Opened accountnet.com. Its Dec 2025 event is held at 'Accountnet - Customer Briefing Center, 31 West 34th Street, 8th Floor', and the site says it hosts seminars 'at our New York offices'. NY DOS still shows the 1996 filing address 1333 Broadway Suite 303, which is stale.",,,,,,,,,
21,yes,"NPI 1073541710 (Behnam Kohanim, OB/GYN) gives the practice location as 260 W Sunrise Hwy Suite 200, Valley Stream, with mail to ACPNY at 55 Water St. The ACPNY Valley Stream Medical Office page shows 260 W. Sunrise Hwy, 11581. The suite (200) could be added.",,,,,,,,,
22,yes,"Bizapedia is blocked here. This is a founder-run consultancy whose donor lives in Cleveland Heights OH, and the NYC 915 Broadway suite has no link to it. City-only home_based publishes no street, so it stands.",,,,,,,,,
24,yes,"Opened acxion.com/contact: 'Acxion ... 510 McCormick Drive, Suite S, Glen Burnie, MD 21061'.",,,,,,,,,
25,yes,"The NPI API shows the donor (dermatopathologist) and the organisation Advanced Dermatology Associates, Ltd. (NPI 1932196060) both at 1259 S Cedar Crest Blvd Suite 100, Allentown PA 18103, which fits the Coopersburg donor.",,,,,,,,,
26,yes,"The TapTalent profile gives the HQ as 469 7th Ave, New York, NY 10018-7601, and additionmanagement.com lists New York and Tampa offices without streets. 469 Seventh Ave is an office building, and the ZIP fix to 10018 is right. The address rests on a directory only.",,,,,,,,,
27,yes,"This is a retired donor's previous employer with several same-named firms (London LLP, Philadelphia PE, DC). Nothing ties the donor to one, so ambiguous is appropriate.",,,,,,,,,
28,yes,"The SEC submissions JSON (CIK 2085885) gives only 6713 Wemberly Way, McLean VA 22101 as both business and mailing address, a residential street. adelphidata.com confirms the donor is COO and gives no office, so city-only is right.",,,,,,,,,
29,no,"The organisation and address are right, but the cited ADH contact page does not state it: it lists the Oakhurst office as 1912 State Route 35 South (Monmouth Gastroenterology). The donor's own ADH provider page shows 'Shore Gastroenterology Associates, 1907 Highway 35, Suite 1, Oakhurst, NJ 07755', matching her NPI. The source URL is replaced.",corrected,Allied Digestive Health - Shore Gastroenterology Associates (Oakhurst office),"1907 Highway 35, Suite 1",OAKHURST,NJ,07755,Allied Digestive Health provider page; CMS NPI record,https://adhgi.com/providers/penny-s-turtel-md-facg-facp/,"The published Little Rock address is the Arkansas Dept of Health, which is wrong. The donor is an ADH gastroenterologist at its Shore Gastroenterology Associates office, 1907 Highway 35 Suite 1, Oakhurst (per her ADH provider page and NPI)."
31,yes,"Opened amtci.org: '1718 North Sterling Ave., Peoria, IL 61604'.",,,,,,,,,
32,yes,"The organisation is right, since the donor is the Advanced Nutrients founder. The contact page is blocked here, but the CA SOS filing via bizprofile.net (Advanced Nutrients, Ltd., doc 6203988) gives the principal address as 8687 Melrose Ave., Suite G320, West Hollywood, CA 90069 and names the donor as CEO. That URL is a better source: https://www.bizprofile.net/ca/west-hollywood/advanced-nutrients-ltd",,,,,,,,,
34,yes,"The Adventist Health Portland location page shows 10123 SE Market Street, Portland, OR 97216. One caveat: the donor's NPI now (updated 2026-06) shows Burlington VT, not Portland. Adventist Health Portland still fits the Portland OR filings.",,,,,,,,,
38,yes,"GuideStar is blocked here, but the ProPublica Nonprofit Explorer API for EIN 13-6141078 gives Alpha Epsilon Pi Foundation Inc at 8910 PURDUE RD STE 730, Indianapolis 46268.",,,,,,,,,
40,no,"A public practice address exists. The NPI registry lists Affiliated Anesthesiologists PC (NPI 1316056914, Michigan, active) at 36475 5 Mile Rd, Livonia MI 48154, and the donor's own NPI practice location is the same address. That is the Livonia hospital campus where the group practised.",corrected,Affiliated Anesthesiologists PC (Livonia MI anesthesia group),36475 5 Mile Rd,LIVONIA,MI,48154,CMS NPI Registry (organisation NPI 1316056914),https://npiregistry.cms.hhs.gov/api/?version=2.1&organization_name=affiliated%20anesthesi*&state=MI&limit=20,"This is a hospital-based group located at the Livonia hospital campus (36475 Five Mile Rd). The NPI record was last updated in 2008, so the group may no longer be active, and confidence is moderate. The published Oklahoma City group is unrelated to this retired Michigan donor."
41,yes,"Opened the Epiphany Dermatology Morristown page. It lists the donor as a provider and gives '182 South Street, Suites 1 & 3, Morristown, NJ 07960'.",,,,,,,,,
43,yes,"Opened dermatologyseattle.com. It lists the donor as a provider and gives '13610 1st Ave S, Burien, WA 98168'.",,,,,,,,,
44,yes,"The LinkedIn company page (raw HTML) gives '2995 Woodside Road, St. 400-133, Woodside, CA 94062'. The firm states this itself, but '400-133' looks like a mailbox-style suite at a shopping center, so confidence is moderate.",,,,,,,,,
45,no,"The firm's own contact page lists four offices: Tel Aviv, Los Angeles (9440 Santa Monica Blvd, Suite 301, Beverly Hills 90210), New York (382 Central Park West, Suite 18V, a residential building) and Miami (1395 Brickell Ave, Suite 800). A firm that publishes commercial offices is not home_based. The NY unit must not be published, so the published Beverly Hills office, which the firm itself states, is kept.",correct,Aharoni Law Firm (Los Angeles office),"9440 Santa Monica Blvd, Suite 301",BEVERLY HILLS,CA,90210,Aharoni Law Firm contact page,https://aharonilaw.com/contact-us/,"The donor is NY-based, but the firm's NY listing is a unit in a residential building on Central Park West and is withheld. Beverly Hills (and Miami, 1395 Brickell Ave Ste 800) are executive-suite offices the firm publishes itself."
47,yes,"Both candidates fit the evidence: ActionIQ (NYC, now Uniphore), which fits a NY partnership director, and Alpine IQ/AIQ (CO). Nothing settles which one the filing means, and the Broomfield PMB should not be published. Ambiguous is fine.",,,,,,,,,
48,yes,"Opened atljewishacademy.org: '5200 Northland Drive, Atlanta, GA 30342'. This fits a college counselor in the Atlanta metro.",,,,,,,,,
49,yes,"Opened bizprofile.net. Adeena Karsseboom Fitterman Properties (CA doc 4739761, active) has its principal address on a Santa Monica residential street (90403). This is a one-person corporation of the donor, so city-only home_based is right.",,,,,,,,,
50,yes,"Opened alaskaimaging.com/contact: 'Alaska Imaging - 2751 DeBarr Road, Suite 360, Anchorage, AK 99508'.",,,,,,,,,
51,yes,"Opened alchemistventures.com. It lists products and team with a contact link but no office address, and the Miami PMB is not tied to it. not_found is right for this Cambridge MA donor's studio.",,,,,,,,,
52,yes,"Opened the alcoproductsinc.com contact page: 'Showroom, 4921 Wyaconda Road, North Bethesda, MD 20852'. A Bethesda remodeler fits this firm, not the Detroit roofing maker.",,,,,,,,,
54,yes,"The NY DOS open data (DOS 4160075) gives 41 Notre Dame Lane, Utica 13502. About 20 unrelated businesses are registered at the same address, including the Mohawk Valley Association of Realtors and a KFC franchisee, so it is a commercial building. Zolidar lists the donor as CEO of Alistar Resources.",,,,,,,,,
55,yes,"The LinkedIn company page (raw HTML schema) gives '1590 S. Congress Avenue, West Palm Beach, FL 33406', a company-stated address.",,,,,,,,,
56,yes,"The SEC submissions JSON (CIK 1438731) gives the business address as 244 MADISON AVENUE, PMB #358, New York 10016. The last filing is a Form 15-12G (Oct 2022). This is the company's own last-filed address.",,,,,,,,,
57,yes,"BBB is blocked here, but the Colorado SOS open data shows 'All Packaging Company LLC', in good standing since 1954, with principal address 14806 E 33rd Pl, Aurora. This is a better source: https://data.colorado.gov/resource/4ykn-tg5h.json?$where=upper(entityname)%20like%20%27ALL%20PACKAGING%25%27",,,,,,,,,
58,yes,"Opened apfadvisory.com/contact: 'APF Advisory Services, 3435 Ocean Park Blvd., suite 107-211, Santa Monica, CA 90405', with a footer naming All Point Financial, Inc. dba APF Advisory Services. It is company-stated but mailbox-style.",,,,,,,,,
59,yes,"Opened allsetrestaurant.com: '8630 Fenton St, Silver Spring, MD 20910'. The Downtown Silver Spring listing confirms it is still operating in the Montgomery Center.",,,,,,,,,
60,yes,"Many Missouri 'All Star Sports' entities exist, and nothing ties the St. Louis owner to one. The Florence SC address is unrelated, so ambiguous is right.",,,,,,,,,
61,yes,"The LinkedIn company page (raw HTML schema) gives Alladapt Immunotherapeutics, Inc. at '611 Santa Cruz Ave, Menlo Park, California 94025', with only 1 employee listed. A Harmony Biosciences 8-K (Apr 2026) confirms the donor was Alladapt's former CFO/COO. The company appears largely wound down, so confidence is moderate.",,,,,,,,,
62,yes,"The Allegiance Staffing site (search of its location pages) shows 'Sumner, WA - 13704 24th St E, Sumner, WA 98390, Office: 253-750-0046', which fits both WA donors. This URL states it directly: https://www.allegiancestaffing.com/agency-locations/jobs-in-seattle-wa-sumner/",,,,,,,,,
63,yes,"Opened envisionhealth.com/contact: '20 Burton Hills Blvd, Suite 300, Nashville, TN 37215'. AllegiantMD was absorbed into Sheridan/Envision, so the parent HQ is right for this retired donor.",,,,,,,,,
64,yes,"This looks like the retired Columbus donor's own family development firm, and there is no evidence linking it to the Pasadena office. not_found is appropriate.",,,,,,,,,
66,yes,"The Alliant office-locations page lists 'Irvine 18100 Von Karman Ave. 10th Floor Irvine, CA 92612' (HQ). The donors are in different metros (IL, MD), so the HQ is acceptable. Local branches also exist in Bannockburn IL and Rockville MD.",,,,,,,,,
68,yes,"No organisation called ALPAC could be tied to this retired Houston donor, and the Ann Arbor address looks residential. not_found is right.",,,,,,,,,
69,yes,"The ProPublica Nonprofit Explorer API (EIN 13-6141078) gives Alpha Epsilon Pi Foundation Inc at 8910 PURDUE RD STE 730, Indianapolis 46268, which matches.",,,,,,,,,
70,yes,"The altertrading.com locations are JS-rendered, but the Arkansas State Chamber member listing shows 'TRG/Alter Trading Corporation, 4500 West Bethany Road, North Little Rock, AR 72117'. This is a better source: https://www.chamberdata.net/WebForms/alter-trading-corp-tenenbaum-recycling-group-__1_19_5042046_memberprofile.aspx?dbid2=arstate",,,,,,,,,
73,yes,"Opened alz.org/seflorida/about: 'Southeast Florida Chapter Headquarters, 100 W. Cypress Creek Rd., Suite 1046, Ft. Lauderdale, FL 33309'.",,,,,,,,,
74,yes,"Opened the bankingjournal.aba.com footer and aba.com contact page: '1333 New Hampshire Ave NW, Washington, DC 20036'.",,,,,,,,,
76,yes,"The NY DOS open data (DOS 2507026) gives 71-02 80th Street, Glendale 11385. Other businesses share the address (Long Island Carpet Cleaners, Kalfaian Rug Cleaners, Apex Tradelink Suite 101), so it is a commercial building, not a residence.",,,,,,,,,
77,yes,"Opened aha.org/contact-us: '800 10th Street, NW, Two CityCenter, Suite 400, Washington, DC 20001-4956'. It is the nearest office for the MD donor.",,,,,,,,,
78,yes,"Opened americanindustrial.com: 'American Industrial Partners, 450 Lexington Ave, 40th Floor, New York, NY 10017'.",,,,,,,,,
