rid,agree,reason,verdict,organisation,address,city,state,zip,source_name,source_url,note
79,yes,"Opened ProPublica (IRS record: Sacramento CA only, the registered-agent mailing address) and theajma.org (email only, no street). No public office; not_found stands.",,,,,,,,,
80,yes,"Opened ats.org/location/new-york: 55 East 59th Street, New York NY 10022 is the ATS national/NY office; 600 Third Ave is outdated.",,,,,,,,,
81,yes,"networkats.com returns 403 live; Wayback capture (2025) of its contact page lists New York 250 Broadway Suite 610, NY 10007 alongside Fairfax and Atlanta; NY office fits the Queens-based president.",,,,,,,,,
82,yes,"Opened amgtexascapital.com: Office 100 Glenborough Dr, Suite 1000 Houston TX 77067 with the Houston donor's own contact email; West Palm Beach is Affiliated Managers Group.",,,,,,,,,
83,yes,"Opened amherst.com/contact: Austin HQ 401 Congress Ave 33rd Floor 78701 (plus NYC 620 Fifth Ave and Austin Eastside); no NC office, HQ kept.",,,,,,,,,
84,yes,"Opened Wayback capture (Nov 2025) of amitayconsulting.com/contact-us (live site unreachable): footer 444 North Capitol Street NW Suite 345, DC 20001 (body says Suite 203); same building, published form fine.",,,,,,,,,
85,yes,"Opened ScrapMonster listing: Amlon Group NYC, 10 East 40th Street Suite 3802, New York NY 10016; matches the published address and fits the NJ-based CEO.",,,,,,,,,
87,yes,"Opened ampersand.tv terms of service: notices to National Cable Communications LLC dba Ampersand, 151 West 42nd Street, New York NY 10036; NYC Salesforce manager fits this ad-tech firm, not the Waukesha WI Ampersand Inc.",,,,,,,,,
88,yes,"Opened anchoragecapital.com: New York office 610 Broadway, 6th Floor, New York NY 10012; 601 Lexington is outdated.",,,,,,,,,
89,yes,"Opened adigc.com project page: Anduril Industries corporate offices on floors 5-6 of 909 E St NW, Washington DC; fits the DC-based engineer. Santa Monica address is not Anduril's.",,,,,,,,,
90,yes,"Opened angioscreen.com: company lists 6986 Clarksville Pike, Joelton TN 37080, which is the CEO's own FEC filing street (contributions.csv); home_based with street withheld is right.",,,,,,,,,
91,no,"The Dallas firm is identifiable: a Texas corporation Annex Ventures, Inc. (TX SOS 0800014340); directory/registry listings give its address as the same residential Dallas street the president uses on his own FEC filings, so it is home-based, not not_found. The Los Altos/San Jose Annex Ventures LLC team (opened) has no Dallas president.",home_based,"Annex Ventures, Inc. (Texas corporation, Dallas; not the California Annex Ventures LLC)",,Dallas,TX,75230,OpenCorporates (Texas SOS record 0800014340) via search; FEC filing address match,https://opencorporates.com/companies/us_tx/0800014340,"The Texas company's public address is the donor's own residential filing address, so the street is withheld. The published Los Altos address belongs to the unrelated California Annex Ventures."
92,yes,"Sunbiz returns 403 here; directory (mycapital.com) opened: Florida VC Antares Capital Corp publishes only P.O. Box 410730, Melbourne FL 32941, no office. The Miami investor is not with the Chicago lender Antares Capital LP. No street office, so withholding the street is right.",,,,,,,,,
